icao_code,iata_code,name,city,country,lat_decimal,lon_decimal,altitude
KLTS,LTS,ALTUS AFB,ALTUS,USA,34.667,-99.267,422
KLUF,LUF,LUKE AFB,PHOENIX,USA,33.535,-112.383,331
KLUK,LUK,CINCINNATI MUNI LUNKEN FLD,CINCINNATI,USA,39.103,-84.419,148
KMAF,MAF,MIDLAND INTERNATIONAL,MIDLAND,USA,31.942,-102.202,876
KMCC,MCC,MC CLELLAN AFLD,SACRAMENTO,USA,38.667,-121.401,23
KMCF,MCF,MACDILL AFB,TAMPA,USA,27.849,-82.521,5
KMCI,MCI,KANSAS CITY INTERNATIONAL,KANSAS CITY,USA,39.297,-94.714,313
KMCN,MCN,MIDDLE GEORGIA RGNL,MACON,USA,32.693,-83.649,108
KMCO,MCO,ORLANDO INTERNATIONAL,ORLANDO,USA,28.429,-81.316,30
KMDT,MDT,HARRISBURG INTERNATIONAL,HARRISBURG,USA,40.193,-76.763,95
KMDW,MDW,CHICAGO MIDWAY INTERNATIONAL,CHICAGO,USA,41.786,-87.752,189
KMEM,MEM,MEMPHIS INTERNATIONAL,MEMPHIS,USA,35.042,-89.977,104
KMER,MER,CASTLE,MERCED,USA,37.38,-120.568,58
KMFE,MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,USA,26.176,-98.239,33
KMGE,MGE,DOBBINS ARB,MARIETTA,USA,33.915,-84.516,326
KMHR,MHR,SACRAMENTO MATHER,SACRAMENTO,USA,38.554,-121.297,30
KMIA,MIA,MIAMI INTERNATIONAL,MIAMI,USA,25.793,-80.291,3
KMIB,MIB,MINOT AFB,MINOT,USA,48.416,-101.357,509
KMIV,MIV,MILLVILLE MUNI,MILLVILLE,USA,39.368,-75.072,26
KMKE,MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,42.947,-87.896,221
KMKL,MKL,MC KELLAR SIPES RGNL,JACKSON,USA,35.6,-88.916,133
KMKO,MKO,DAVIS FLD,MUSKOGEE,USA,35.657,-95.361,186
KMLB,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,28.103,-80.645,11
KMLC,MLC,MC ALESTER RGNL,MCALESTER,USA,34.882,-95.783,235
KMLT,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,45.648,-68.686,125
KMLU,MLU,MONROE RGNL,MONROE,USA,32.511,-92.037,25
KMMV,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,45.194,-123.136,50
KMNM,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,45.126,-87.638,191
KMOB,MOB,MOBILE RGNL,MOBILE,USA,30.691,-88.243,67
KMOD,MOD,MODESTO CITY CO HARRY SHAM,MODESTO,USA,37.626,-120.954,30
KMOT,MOT,MINOT INTERNATIONAL,MINOT,USA,48.259,-101.28,519
KMPV,MPV,EDWARD F KNAPP STATE,MONTPELIER,USA,44.203,-72.562,356
KMQT,MQT,SAWYER INTERNATIONAL,MARQUETTE,USA,46.534,-87.562,433
KMSN,MSN,DANE CO RGNL TRUAX FLD,MADISON,USA,43.14,-89.337,271
KMSP,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,44.88,-93.217,257
KMSS,MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,USA,44.936,-74.845,66
KMSY,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,29.993,-90.258,2
KMTC,MTC,SELFRIDGE ANGB,MOUNT CLEMENS,USA,42.613,-82.832,177
KMUI,MUI,MUIR AAF,MUIR,USA,40.435,-76.569,150
KMUO,MUO,MOUNTAIN HOME AFB,MOUNTAIN HOME,USA,43.043,-115.872,914
KMWH,MWH,GRANT CO INTERNATIONAL,GRANT COUNTY AIRPORT,USA,47.208,-119.32,362
KMWL,MWL,MINERAL WELLS,MINERAL WELLS,USA,32.781,-98.06,297
KMXF,MXF,MAXWELL AFB,MONTGOMERY,USA,32.379,-86.362,53
KMYR,MYR,MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,USA,33.68,-78.928,8
KNBC,NBC,BEAUFORT MCAS,BEAUFORT,USA,32.477,-80.723,11
KNBG,NBG,NEW ORLEANS NAS JRB,NEW ORLEANS,USA,29.825,-90.035,1
KNCA,NCA,NEW RIVER MCAS,JACKSONVILLE,USA,34.708,-77.439,8
KNEL,NEL,LAKEHURST NAES,LAKEHURST,USA,40.033,-74.353,32
KNFL,NFL,FALLON NAS,FALLON,USA,39.416,-118.701,1200
KNGU,NGU,NORFOLK NS,NORFOLK,USA,36.938,-76.289,5
KNHK,NHK,PATUXENT RIVER NAS,PATUXENT RIVER,USA,38.286,-76.412,12
KNID,NID,CHINA LAKE NAWS,CHINA,USA,35.688,-117.691,696
KNIP,NIP,JACKSONVILLE NAS,JACKSONVILLE,USA,30.236,-81.681,7
KNJK,NJK,EL CENTRO NAF,EL CENTRO,USA,32.829,-115.672,-13
KNKT,NKT,CHERRY POINT MCAS,CHERRY POINT,USA,34.902,-76.881,9
KNKX,NKX,MIRAMAR MCAS,MIRAMAR,USA,32.868,-117.143,146
KNLC,NLC,LEMOORE NAS,LEMOORE,USA,36.333,-119.952,72
KNMM,NMM,MERIDIAN NAS,MERIDIAN,USA,32.552,-88.556,97
KNOW,NOW,PORT ANGELES CGAS,PORT ANGELES,USA,48.141,-123.414,4
KNPA,NPA,PENSACOLA NAS,PENSACOLA,USA,30.353,-87.319,9
KNQA,NQA,MILLINGTON MUNI,MILLINGTON,USA,35.357,-89.87,98
KNQI,NQI,KINGSVILLE NAS,KINGSVILLE,USA,27.507,-97.81,16
KNQX,NQX,KEY WEST NAS,KEY WEST,USA,24.576,-81.689,2
KNSE,NSE,WHITING FLD NAS NORTH,MILTON,USA,30.724,-87.022,61
KNTD,NTD,POINT MUGU NAS,POINT MUGU,USA,34.12,-119.121,4
KNTK,NTK,TUSTIN MCAF,TUSTIN,USA,33.706,-117.827,17
KNTU,NTU,OCEANA NAS,OCEANA,USA,36.821,-76.033,7
KNUQ,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,USA,37.415,-122.048,10
KNUW,NUW,WHIDBEY ISLAND NAS,WHIDBEY ISLAND,USA,48.352,-122.656,15
KNXP,NXP,TWENTYNINE PALMS EAF,TWENTY NINE PALMS,USA,34.296,-116.162,623
KNXX,NXX,WILLOW GROVE NAS JRB,WILLOW GROVE,USA,40.2,-75.148,111
KNYG,NYG,QUANTICO MCAF,QUANTICO,USA,38.502,-77.305,4
KNZC,NZC,CECIL FLD,JACKSONVILLE,USA,30.219,-81.876,25
KNZY,NZY,NORTH ISLAND NAS,SAN DIEGO,USA,32.699,-117.215,8
KOAK,OAK,METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,USA,37.721,-122.221,2
KOFF,OFF,OFFUTT AFB,OMAHA,USA,41.118,-95.913,321
KOGS,OGS,OGDENSBURG INTERNATIONAL,OGDENSBURG,USA,44.682,-75.466,91
KOKC,OKC,WILL ROGERS WORLD,OKLAHOMA CITY,USA,35.393,-97.601,395
KOLS,OLS,NOGALES INTERNATIONAL,NOGALES,USA,31.418,-110.848,1206
KOMA,OMA,EPPLEY AFLD,OMAHA,USA,41.302,-95.894,300
KONT,ONT,ONTARIO INTERNATIONAL,ONTARIO,USA,34.056,-117.601,288
KOPF,OPF,OPA LOCKA,MIAMI,USA,25.907,-80.278,3
KORD,ORD,CHICAGO OHARE INTERNATIONAL,CHICAGO,USA,41.979,-87.904,204
KORF,ORF,NORFOLK INTERNATIONAL,NORFOLK,USA,36.894,-76.201,8
KORL,ORL,EXECUTIVE,ORLANDO,USA,28.545,-81.333,35
KOSC,N/A,OSCODA WURTSMITH,OSCODA,USA,44.451,-83.394,194
KPAE,PAE,SNOHOMISH CO,EVERETT,USA,47.906,-122.281,185
KPAM,PAM,TYNDALL AFB,PANAMA CITY,USA,30.07,-85.576,6
KPBF,PBF,GRIDER FLD,PINE BLUFF,USA,34.175,-91.934,63
KPBG,PBG,PLATTSBURGH INTERNATIONAL,PLATTSBURGH,USA,44.651,-73.468,72
KPBI,PBI,PALM BEACH INTERNATIONAL,WEST PALM BEACH,USA,26.683,-80.096,6
KPDX,PDX,PORTLAND INTERNATIONAL,PORTLAND,USA,45.589,-122.597,10
KPHF,PHF,NEWPORT NEWS WILLIAMSBURG INTERNATIONAL,NEWPORT NEWS,USA,37.132,-76.493,14
KPHL,PHL,PHILADELPHIA INTERNATIONAL,PHILADELPHIA,USA,39.872,-75.241,12
